text,label
thật tuyệt vời,2
mỹ đã tuột dốc quá nhiều rồi giờ muốn vực dậy cũng rất khó,1
Tôi thấy người lái xe hơi bấm còi mới là người lịch sự quá văn minh đường xá là của chung người cùng sử dụng và người bấm còi rất lịch sự .,2
coi dịch là giặc đã mang tên đó mà xâm nhập vn thì phải đầu hàng hoặc cút xéo vn luôn tự hào,0
quá trình lớn hiện tại còn rất nhỏ bé quá cha mẹ là một phần lớn lớn trong xã hội hiện tại còn rất nhỏ .,1
sevila đoạt cúp sau loạt đá luân lưu nha,1
angelina jolie có đôi bàn tay nổi gân guốc quá,0
tôi không biết bà ấy làm thế nào để xử lý gã ấy chỉ thấy đánh bùm bùm,0
tấm hình này chắc bộ nhớ máy tính chứa được 1 tấm,1
không trung sẽ không còn yên tĩnh,0
dí súng vào người khác bóp cò đạn ko nổ ko thuộc trường hợp có tính côn đồ bó tay luônđề nghị giảm án cho anh đi,0
em quá giỏi em nên tham gia thành lập clb tiếng anh tại các giáo xứ nhà chùa và có sự tham gia của các hội thiện nguyện hãy cho các em một cơ hội ước mơ .,2
mình học trường đại học ở bên mỹ suốt mấy năm chỉ dùng điện thoại để chụp hình bài giảng nếu ghi không kịp thì chuyện quay chụp lén sẽ rất khó kiểm soát .,1
tui cực sợ rắn nhưng khi xem clip này tui lại cực mắc cười xd,2
phản ánh một thực tế khoảng cách giàu nghèo ngày càng lớn vẫn còn nhiều đứa trẻ không biết bánh trung thu là gì chạnh lòng,1
messi vẫn chơi hay nhất trận,2
ở đâu cũng có những kẻ dở hơi,0
Những ngày qua thương tiếc thay cho những đứa trẻ nằm trong bụng mẹ nhưng không biết rằng những đứa trẻ ấy như thế nào còn ẵm ngửa trên tay mẹ thì quá đau đớn làm sao mẹ có thể biết trân trọng những gì còn lại .,1
kia soluto thì thiếu tí tẹo,0
may là rắn không có độc không thì cá gặp diêm vương rồi,0
Công an là một trong những địa phương có đội ngũ những chiến sĩ là những chiến sĩ thật dũng cảm và quả cảm .,2
thích vụ ko tạo scandal,1
có lẽ đây là lý do nhiều người miền nam có màu da sạm hơn đồng bào miền bắc vì mọi món đều cho chút đường,1
Đọc tin tức ở xứ chùa hương tôi đọc tin bạn bè các bạn trẻ vùng đông bắc và miền trung nước mắt là nỗi đau đau xót xót bao bao người bạn quê hương .,0
rất hay,2
mong chính quyền thành phố dẹp hết giang hồ cho mọi người được nhờ,1
biden harris sẽ thắng,1
Nước giải khát đóng chai đóng gói mua ngoài thị trường có chất lượng cao quá nên nhiều người mua không biết là nước gì và có chất lượng ra sao .,1
xinh đẹp tài giỏi có trình độ hiểu biết rộng nên đi làm diễn viên,2
cảm ơn tất cả các bạn chúng tôi vô cùng biết ơn và yêu mến các bạn vn,2
bàn tay nhanh nhẹn quá chúc mừng chú gia đình là quan trọng nhất,2
cái đầm cửa hà kiều anh trông nhạt nhẽo quá,0
cũng đẹp,2
sĩ quan này rất thẳng thắn và mạnh mẽ tôi hy vọng biden sẽ trở thành tân tổng thống của hoa kỳ,2
sống mà không có kinh tế thì sống kiểu gì ? Tuổi Trẻ Online 24h hôm nay 22h chủ nhật bắt đầu từ từ 22h đến hết ngày 30 tết từ chắc chắc sẽ sống được nếu ko có kinh tế thì sống kiểu gì ? Tuổi Trẻ Online 24h hôm nay là chủ nhật và sống nếu không có kinh tế thì sống kiểu gì ?,0
"gày tết khi những con dế mèn phiêu lưu ký đi qua đi lại trên những con đường đất đỏ rực rỡ , người đọc chắc hẳn sẽ không quên được cái tết tuổi thơ đáng yêu của tuổi thơ mình .",2
lần đầu tiên quê hương ninh bình của mình có thí sinh vào chung kết chúc cháu thành công mang vinh quang về,2
g j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j j,0
chúc mừng và cảm ơn các bạn hy vọng netflix sẽ mua bản quyền phát hành online toàn thế giới phim ròm để tụi mình có thể thưởng thức,2
vậy mà ở london thì người dân lại biểu tình đòi tháo khẩu trang ra,0
